"State Name",,,,
"Step Name",,,,
"Result Name",,,,
Units,,,,
Iteration,Date,Time,"Time (milliseconds)",Status
1,5/11/2015,"3:30:55 PM",524,Pass
2,5/11/2015,"3:30:55 PM",749,Pass
3,5/11/2015,"3:30:56 PM",251,Pass
4,5/11/2015,"3:30:57 PM",128,Pass
5,5/11/2015,"3:30:57 PM",234,Pass
6,5/11/2015,"3:30:57 PM",743,Pass
7,5/11/2015,"3:30:58 PM",242,Pass
8,5/11/2015,"3:30:58 PM",729,Pass
9,5/11/2015,"3:30:59 PM",237,Pass
10,5/11/2015,"3:30:59 PM",738,Pass
11,5/11/2015,"3:31:09 PM",747,Pass
12,5/11/2015,"3:31:10 PM",656,Pass
13,5/11/2015,"3:31:11 PM",631,Pass
14,5/11/2015,"3:31:11 PM",741,Pass
15,5/11/2015,"3:31:12 PM",231,Pass
16,5/11/2015,"3:31:12 PM",736,Pass
17,5/11/2015,"3:31:13 PM",233,Pass
18,5/11/2015,"3:31:13 PM",740,Pass
19,5/11/2015,"3:31:14 PM",631,Pass
20,5/11/2015,"3:31:15 PM",134,Pass
21,5/11/2015,"3:31:15 PM",633,Pass
22,5/11/2015,"3:31:16 PM",147,Pass
23,5/11/2015,"3:31:17 PM",135,Pass
24,5/11/2015,"3:31:17 PM",632,Pass
25,5/11/2015,"3:31:18 PM",138,Pass
26,5/11/2015,"3:31:18 PM",652,Pass
27,5/11/2015,"3:31:19 PM",628,Pass
28,5/11/2015,"3:31:20 PM",144,Pass
29,5/11/2015,"3:31:35 PM",633,Pass
30,5/11/2015,"3:31:36 PM",136,Pass
31,5/11/2015,"3:31:36 PM",245,Pass
32,5/11/2015,"3:31:36 PM",737,Pass
33,5/11/2015,"3:31:37 PM",234,Pass
34,5/11/2015,"3:31:37 PM",736,Pass
35,5/11/2015,"3:31:38 PM",246,Pass
36,5/11/2015,"3:31:39 PM",138,Pass
37,5/11/2015,"3:31:40 PM",137,Pass
38,5/11/2015,"3:31:40 PM",649,Pass
39,5/11/2015,"3:31:41 PM",628,Pass
40,5/11/2015,"3:31:41 PM",736,Pass
41,5/11/2015,"3:31:42 PM",258,Pass
42,5/11/2015,"3:31:42 PM",723,Pass
43,5/11/2015,"3:31:43 PM",631,Pass
